Task,Drift Reduction (%),Std (%),P-value,Significant
MRPC,0.33563131753581965,0.34059513604994335,0.1490513115524459,❌
SST2,29.28642791732608,1.4505779565655696,0.0006121969431216879,✅
RTE,-0.02611835966987804,0.5820546847891528,0.5224137908131525,❌
