Task,Method,Mean Drift,Accuracy,Accuracy Std,F1,F1 Std,Dataset Size
MRPC,Full FT,0.777309932491996,0.8431666666666665,0.0024006943440041256,0.8915000000000001,0.0016999999999999793,3668
MRPC,LoRA,0.7746920395981182,0.8384333333333333,0.0021594752448993917,0.8883666666666666,0.0018147543451754627,3668
SST-2,Full FT,0.8988837383010172,0.9245666666666666,0.0009291573243177621,0.9245666666666666,0.0009291573243177621,67349
SST-2,LoRA,0.6353687047958374,0.9198333333333334,0.001350308606701958,0.9198333333333334,0.001350308606701958,67349
RTE,Full FT,0.6016623720978246,0.722,0.003599999999999992,0.722,0.003599999999999992,2490
RTE,LoRA,0.6017991466955706,0.7183999999999999,0.003599999999999992,0.7183999999999999,0.003599999999999992,2490
